Proceso_ID;Anio;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
P06;2015;2;3;4;4;3;3;4;2;3;2;2;2
P07;2015;0;0;2;2;2;1;2;2;1;2;2;1
P08;2015;0;0;1;2;2;1;0;2;1;2;2;1
P01;2016;1;3;2;3;3;1;1;2;1;2;1;2
P02;2016;5;3;4;5;3;5;5;3;5;4;3;5
P03;2016;4;4;2;4;2;2;4;2;3;2;2;4
P04;2016;4;5;5;5;6;6;4;5;4;4;5;4
P05;2016;5;6;5;5;6;7;7;6;7;7;7;7
P06;2016;4;2;3;3;2;3;3;4;4;4;4;2
P07;2016;2;0;1;2;2;0;2;2;2;0;0;2
P08;2016;1;2;0;1;0;1;2;2;2;1;2;1
P01;2017;3;3;2;1;2;1;2;1;3;3;3;2
P02;2017;4;4;4;3;4;5;4;3;3;4;5;5
P03;2017;3;3;4;4;4;2;2;2;3;4;4;2
P04;2017;4;5;6;4;6;6;4;5;5;6;5;5
P05;2017;7;6;7;7;6;7;7;7;5;5;6;7
P06;2017;4;2;2;3;4;2;2;3;3;4;3;2
P07;2017;1;0;2;0;0;2;0;0;1;1;0;2
P08;2017;2;0;0;0;1;0;0;2;1;2;2;0
P01;2018;1;3;2;2;2;2;3;1;2;3;1;3
P02;2018;5;5;3;4;4;3;3;5;5;4;5;5
P03;2018;2;4;4;2;4;3;2;3;4;2;4;3
P04;2018;5;4;4;4;6;5;5;6;5;4;5;5
P05;2018;5;6;5;6;6;7;5;5;5;7;6;5
P06;2018;2;4;3;2;2;4;2;2;3;4;2;2
P07;2018;1;1;0;1;2;1;2;0;0;1;0;1
P08;2018;1;0;1;0;0;2;1;1;1;1;2;0
P01;2019;2;3;3;1;1;2;1;2;3;1;3;1
P02;2019;5;5;5;3;5;3;3;3;3;4;4;5
P03;2019;2;2;3;2;2;2;2;3;2;4;3;2
P04;2019;5;6;4;6;5;4;4;5;6;5;4;4
P05;2019;6;7;5;5;6;5;6;5;5;6;5;5
P06;2019;3;4;3;4;3;3;2;4;4;3;2;3
P07;2019;1;1;2;2;0;2;0;2;2;1;2;1
P08;2019;0;0;2;0;2;1;2;2;1;2;0;2
P01;2020;1;1;2;1;1;3;2;1;3;2;2;2
P02;2020;3;4;3;4;4;3;5;5;4;5;3;3
P03;2020;3;4;2;4;4;3;3;3;2;4;3;3
P04;2020;6;6;5;4;6;5;5;6;6;6;6;6
P05;2020;6;7;5;7;7;6;5;6;6;5;7;7
P06;2020;3;4;3;2;4;3;4;2;3;4;2;2
P07;2020;1;0;1;1;1;1;2;0;0;0;2;1
P08;2020;2;0;1;2;1;1;2;2;2;2;1;1
P01;2021;1;3;2;2;2;1;2;1;1;3;2;2
P02;2021;4;4;5;4;3;4;4;5;3;5;5;5
P03;2021;2;2;2;3;2;4;3;2;4;4;2;2
P04;2021;5;5;5;5;6;6;5;5;6;5;4;5
P05;2021;6;7;7;6;7;6;7;7;7;7;7;5
P06;2021;4;2;4;2;2;2;4;4;2;2;4;2
P07;2021;0;1;2;0;0;1;2;1;0;2;1;0
P08;2021;2;1;0;0;0;2;0;1;1;1;1;1
P01;2022;2;3;3;2;2;3;1;2;2;1;3;1
P02;2022;3;3;5;3;5;5;4;4;3;5;5;4
P03;2022;3;2;3;2;3;2;4;2;2;3;4;2
P04;2022;6;4;4;6;5;4;6;5;4;6;6;4
P05;2022;5;5;5;5;5;5;5;7;5;7;7;7
P06;2022;4;3;2;4;4;4;3;4;4;2;4;2
P07;2022;1;1;2;2;1;2;0;2;0;1;1;2
P08;2022;2;1;0;1;2;1;0;0;1;0;2;1
P01;2023;2;1;1;2;1;1;1;1;3;3;3;1
P02;2023;4;5;3;5;5;4;3;3;3;3;5;4
P03;2023;4;2;4;3;4;2;4;2;3;2;4;3
P04;2023;5;6;6;6;4;4;6;5;4;5;5;6
P05;2023;5;6;6;5;7;6;6;6;6;5;6;5
P06;2023;4;3;4;2;4;3;3;3;4;4;4;2
P07;2023;2;1;2;0;0;0;2;0;2;0;2;0
P08;2023;1;2;1;0;0;2;2;2;1;1;0;1
P01;2024;1;2;3;3;1;3;1;3;3;2;3;3
P02;2024;4;4;4;3;4;5;3;3;5;3;3;5
P03;2024;4;2;4;3;4;3;2;2;2;2;3;2
P04;2024;5;5;6;6;4;5;5;6;6;6;5;4
P05;2024;6;6;7;7;6;5;5;5;7;5;7;6
P06;2024;3;4;2;2;2;2;2;4;4;3;3;4
P07;2024;1;1;0;1;0;0;0;1;1;2;0;0
P08;2024;2;0;1;1;1;0;0;1;2;2;0;0
