ID_Auditoria,Fecha_Auditoria,Proceso_ID,Tipo_Auditoria,Auditor_ID,Numero_Hallazgos,Calificacion,Estado
AUD-10130,2009-10-12,P07,Auditoría de Seguimiento,R18,2,85.1,Cerrada
AUD-10145,2009-10-15,P01,Auditoría Interna Programada,R09,0,96.5,Cerrada
AUD-10366,2010-01-02,P08,Auditoría Interna Programada,R21,1,96.3,Cerrada
AUD-10287,2010-01-03,P08,Auditoría Interna Programada,R11,2,88.1,Cerrada
AUD-10292,2010-01-22,P06,Auditoría de Seguimiento,R21,2,90.0,En Revisión
AUD-10396,2010-01-23,P05,Auditoría de Seguimiento,R09,3,83.9,Cerrada
AUD-10293,2010-02-20,P01,Auditoría Externa ISO 9001,R09,2,91.4,Cerrada
AUD-10244,2010-02-26,P07,Auditoría de Seguimiento,R18,4,72.7,Cerrada
AUD-10415,2010-03-29,P02,Auditoría Interna Programada,R18,0,100.0,Cerrada
AUD-10115,2010-05-04,P04,Auditoría de Seguimiento,R18,0,100.0,Cerrada
AUD-10328,2010-05-16,P04,Auditoría Externa ISO 9001,R01,3,72.7,Cerrada
AUD-10250,2010-06-08,P05,Auditoría Interna Programada,R11,2,85.4,Cerrada
AUD-10125,2010-07-01,P07,Auditoría Interna Programada,R16,2,86.0,Cerrada
AUD-10051,2010-08-11,P01,Auditoría de Seguimiento,R18,1,95.8,Cerrada
AUD-10104,2010-09-03,P08,Auditoría de Seguimiento,R16,3,73.5,En Revisión
AUD-10272,2010-09-14,P06,Auditoría de Seguimiento,R16,1,91.1,En Revisión
AUD-10419,2010-09-24,P03,Auditoría Externa ISO 9001,R18,2,84.8,Cerrada
AUD-10062,2010-10-04,P02,Auditoría de Seguimiento,R16,4,67.4,Cerrada
AUD-10238,2010-10-04,P01,Auditoría Externa ISO 9001,R16,1,98.6,Cerrada
AUD-10143,2010-10-30,P07,Auditoría Interna Programada,R08,4,79.9,Cerrada
AUD-10350,2010-12-11,P08,Auditoría Externa ISO 9001,R21,4,73.0,Cerrada
AUD-10028,2010-12-23,P08,Auditoría Externa ISO 9001,R18,7,73.2,Cerrada
AUD-10216,2011-02-04,P06,Auditoría Interna Programada,R16,2,79.2,Cerrada
AUD-10101,2011-02-10,P02,Auditoría de Seguimiento,R08,1,88.5,Cerrada
AUD-10050,2011-02-22,P08,Auditoría de Seguimiento,R16,2,84.6,En Revisión
AUD-10141,2011-03-04,P04,Auditoría Externa ISO 9001,R16,3,80.4,Cerrada
AUD-10273,2011-03-10,P04,Auditoría Interna Programada,R11,0,100.0,Cerrada
AUD-10349,2011-04-10,P01,Auditoría de Seguimiento,R16,3,82.7,Cerrada
AUD-10200,2011-04-16,P08,Auditoría Externa ISO 9001,R11,2,86.4,Cerrada
AUD-10282,2011-04-20,P01,Auditoría de Seguimiento,R21,5,74.2,Cerrada
AUD-10132,2011-05-19,P04,Auditoría Externa ISO 9001,R01,4,70.7,Cerrada
AUD-10047,2011-08-17,P01,Auditoría de Seguimiento,R08,1,90.3,Cerrada
AUD-10003,2011-08-21,P03,Auditoría Interna Programada,R08,2,83.4,Cerrada
AUD-10018,2011-08-25,P04,Auditoría Externa ISO 9001,R17,1,87.5,Cerrada
AUD-10230,2011-09-25,P03,Auditoría Externa ISO 9001,R17,0,95.9,Cerrada
AUD-10123,2011-10-20,P06,Auditoría Interna Programada,R08,2,91.3,Cerrada
AUD-10322,2011-10-26,P07,Auditoría Externa ISO 9001,R01,5,66.3,Cerrada
AUD-10066,2011-11-04,P06,Auditoría Interna Programada,R08,2,94.5,Cerrada
AUD-10075,2011-11-17,P05,Auditoría de Seguimiento,R17,6,49.8,Cerrada
AUD-10399,2011-12-06,P02,Auditoría de Seguimiento,R21,1,89.5,Cerrada
AUD-10011,2012-01-05,P06,Auditoría Interna Programada,R21,2,81.6,Cerrada
AUD-10231,2012-01-13,P04,Auditoría Interna Programada,R17,1,94.0,En Revisión
AUD-10152,2012-01-22,P06,Auditoría de Seguimiento,R21,3,77.2,En Revisión
AUD-10402,2012-01-23,P05,Auditoría Externa ISO 9001,R17,2,87.6,Cerrada
AUD-10157,2012-04-11,P05,Auditoría Interna Programada,R09,2,81.2,Cerrada
AUD-10225,2012-04-25,P08,Auditoría Externa ISO 9001,R21,4,77.2,Cerrada
AUD-10286,2012-04-26,P08,Auditoría de Seguimiento,R16,3,87.0,Cerrada
AUD-10280,2012-06-11,P05,Auditoría de Seguimiento,R01,0,100.0,Cerrada
AUD-10260,2012-06-13,P02,Auditoría Interna Programada,R17,3,82.5,Cerrada
AUD-10395,2012-06-14,P02,Auditoría de Seguimiento,R11,2,87.1,Cerrada
AUD-10208,2012-07-01,P02,Auditoría de Seguimiento,R16,2,86.9,Cerrada
AUD-10206,2012-07-28,P05,Auditoría Externa ISO 9001,R16,2,88.4,Cerrada
AUD-10127,2012-07-31,P08,Auditoría Interna Programada,R08,3,77.7,Cerrada
AUD-10058,2012-09-29,P06,Auditoría de Seguimiento,R01,1,91.0,Cerrada
AUD-10149,2012-10-04,P03,Auditoría Interna Programada,R08,2,96.0,Cerrada
AUD-10054,2012-10-27,P03,Auditoría Externa ISO 9001,R09,0,97.6,Cerrada
AUD-10255,2012-11-10,P03,Auditoría Externa ISO 9001,R21,3,71.5,Cerrada
AUD-10281,2013-01-25,P06,Auditoría Externa ISO 9001,R21,3,72.8,Cerrada
AUD-10298,2013-02-13,P07,Auditoría Interna Programada,R17,2,84.3,En Revisión
AUD-10083,2013-02-15,P06,Auditoría Interna Programada,R18,2,88.4,Cerrada
AUD-10201,2013-04-24,P02,Auditoría Externa ISO 9001,R16,3,81.0,Cerrada
AUD-10063,2013-05-09,P03,Auditoría Interna Programada,R11,5,71.7,Cerrada
AUD-10232,2013-05-17,P02,Auditoría Interna Programada,R11,3,70.4,Cerrada
AUD-10243,2013-05-26,P02,Auditoría Interna Programada,R17,1,91.4,Cerrada
AUD-10148,2013-06-13,P02,Auditoría Externa ISO 9001,R21,2,87.3,Cerrada
AUD-10391,2013-06-23,P07,Auditoría Externa ISO 9001,R20,4,75.1,Cerrada
AUD-10142,2013-06-28,P08,Auditoría Externa ISO 9001,R08,2,85.0,Cerrada
AUD-10213,2013-08-23,P01,Auditoría Interna Programada,R09,2,83.9,Cerrada
AUD-10175,2013-09-08,P05,Auditoría de Seguimiento,R17,1,92.8,Cerrada
AUD-10016,2013-10-18,P02,Auditoría de Seguimiento,R11,0,99.4,En Revisión
AUD-10029,2013-10-18,P05,Auditoría Externa ISO 9001,R08,1,95.3,En Revisión
AUD-10179,2013-11-28,P02,Auditoría de Seguimiento,R21,2,87.3,Cerrada
AUD-10403,2013-12-02,P02,Auditoría Interna Programada,R21,2,88.0,En Revisión
AUD-10212,2013-12-23,P07,Auditoría Interna Programada,R19,1,93.6,Cerrada
AUD-10171,2014-01-16,P02,Auditoría Externa ISO 9001,R09,1,92.5,Cerrada
AUD-10021,2014-02-02,P04,Auditoría Externa ISO 9001,R16,1,88.9,Cerrada
AUD-10184,2014-02-14,P03,Auditoría de Seguimiento,R18,0,96.7,Cerrada
AUD-10257,2014-03-02,P05,Auditoría Interna Programada,R19,5,66.6,En Revisión
AUD-10079,2014-05-12,P01,Auditoría Interna Programada,R11,2,92.0,Cerrada
AUD-10237,2014-05-22,P02,Auditoría Externa ISO 9001,R09,2,81.2,Cerrada
AUD-10133,2014-05-25,P07,Auditoría Externa ISO 9001,R19,0,97.6,Cerrada
AUD-10170,2014-05-31,P08,Auditoría Interna Programada,R13,1,96.0,Cerrada
AUD-10144,2014-06-13,P06,Auditoría Interna Programada,R17,4,69.0,Cerrada
AUD-10064,2014-06-26,P01,Auditoría Externa ISO 9001,R01,5,78.6,Cerrada
AUD-10026,2014-06-27,P05,Auditoría Externa ISO 9001,R21,1,89.7,Cerrada
AUD-10411,2014-06-30,P07,Auditoría Externa ISO 9001,R13,1,93.4,Cerrada
AUD-10406,2014-07-29,P05,Auditoría Externa ISO 9001,R13,1,89.3,Cerrada
AUD-10295,2014-08-10,P05,Auditoría Externa ISO 9001,R08,3,87.2,Cerrada
AUD-10254,2014-08-12,P08,Auditoría Externa ISO 9001,R21,2,88.8,Cerrada
AUD-10151,2014-08-25,P06,Auditoría Interna Programada,R14,1,89.8,En Revisión
AUD-10103,2014-08-29,P08,Auditoría de Seguimiento,R19,1,95.3,En Revisión
AUD-10335,2014-08-29,P03,Auditoría de Seguimiento,R11,2,93.9,Cerrada
AUD-10217,2014-10-04,P08,Auditoría Interna Programada,R19,3,89.0,Cerrada
AUD-10284,2014-10-21,P08,Auditoría Interna Programada,R23,3,82.1,Cerrada
AUD-10076,2014-11-05,P01,Auditoría de Seguimiento,R18,2,81.8,Cerrada
AUD-10074,2014-11-21,P07,Auditoría Interna Programada,R09,3,75.8,En Revisión
AUD-10417,2014-11-21,P08,Auditoría de Seguimiento,R20,2,86.2,Cerrada
AUD-10134,2014-12-07,P01,Auditoría de Seguimiento,R17,2,90.6,En Revisión
AUD-10052,2014-12-11,P08,Auditoría Externa ISO 9001,R09,3,82.0,Cerrada
AUD-10180,2015-01-12,P01,Auditoría Interna Programada,R01,0,95.7,Cerrada
AUD-10087,2015-01-26,P08,Auditoría Interna Programada,R23,1,89.1,Cerrada
AUD-10263,2015-03-17,P08,Auditoría de Seguimiento,R21,6,66.3,Cerrada
AUD-10013,2015-03-20,P08,Auditoría Externa ISO 9001,R09,3,89.3,Cerrada
AUD-10377,2015-04-01,P04,Auditoría Interna Programada,R11,1,95.9,Cerrada
AUD-10221,2015-04-09,P02,Auditoría de Seguimiento,R14,1,91.4,En Revisión
AUD-10205,2015-04-10,P06,Auditoría de Seguimiento,R20,1,94.1,Cerrada
AUD-10114,2015-04-17,P08,Auditoría de Seguimiento,R09,3,87.9,Cerrada
AUD-10036,2015-06-28,P08,Auditoría de Seguimiento,R18,5,70.9,Cerrada
AUD-10010,2015-07-25,P07,Auditoría de Seguimiento,R20,2,81.9,Cerrada
AUD-10356,2015-07-29,P06,Auditoría de Seguimiento,R16,1,95.2,Cerrada
AUD-10137,2015-08-03,P04,Auditoría Interna Programada,R16,2,90.3,En Revisión
AUD-10249,2015-11-04,P03,Auditoría Externa ISO 9001,R17,3,85.3,Cerrada
AUD-10338,2015-11-09,P08,Auditoría Externa ISO 9001,R01,4,74.3,Cerrada
AUD-10159,2015-12-16,P05,Auditoría Externa ISO 9001,R20,0,95.9,En Revisión
AUD-10102,2016-02-28,P04,Auditoría de Seguimiento,R14,1,96.1,Cerrada
AUD-10246,2016-03-11,P05,Auditoría Externa ISO 9001,R13,3,74.3,Cerrada
AUD-10374,2016-03-19,P06,Auditoría Externa ISO 9001,R08,3,74.4,Cerrada
AUD-10303,2016-03-19,P02,Auditoría Interna Programada,R09,3,83.3,Cerrada
AUD-10086,2016-03-21,P05,Auditoría Interna Programada,R08,3,73.8,Cerrada
AUD-10317,2016-04-07,P08,Auditoría Externa ISO 9001,R23,2,92.1,Cerrada
AUD-10302,2016-04-16,P07,Auditoría Externa ISO 9001,R23,2,83.0,Cerrada
AUD-10380,2016-06-20,P06,Auditoría Externa ISO 9001,R09,0,100.0,Cerrada
AUD-10032,2016-07-19,P01,Auditoría de Seguimiento,R16,3,77.3,Cerrada
AUD-10224,2016-07-31,P06,Auditoría de Seguimiento,R02,0,100.0,En Revisión
AUD-10315,2016-08-05,P01,Auditoría Externa ISO 9001,R20,1,93.9,Cerrada
AUD-10283,2016-08-15,P02,Auditoría Interna Programada,R23,3,81.6,Cerrada
AUD-10401,2016-08-30,P04,Auditoría Externa ISO 9001,R18,4,68.5,Cerrada
AUD-10365,2016-09-03,P02,Auditoría Externa ISO 9001,R09,2,90.3,En Revisión
AUD-10334,2016-09-04,P03,Auditoría Externa ISO 9001,R19,2,91.2,Cerrada
AUD-10014,2016-09-07,P04,Auditoría Interna Programada,R13,3,88.4,Cerrada
AUD-10341,2016-09-11,P06,Auditoría Externa ISO 9001,R02,1,98.9,Cerrada
AUD-10072,2016-09-14,P04,Auditoría de Seguimiento,R17,4,80.6,Cerrada
AUD-10210,2016-10-30,P07,Auditoría de Seguimiento,R23,2,82.6,Cerrada
AUD-10024,2016-11-13,P04,Auditoría Externa ISO 9001,R11,0,95.5,Cerrada
AUD-10098,2017-01-05,P03,Auditoría Externa ISO 9001,R08,2,86.5,Cerrada
AUD-10161,2017-01-31,P05,Auditoría Interna Programada,R02,1,93.1,En Revisión
AUD-10258,2017-02-08,P07,Auditoría de Seguimiento,R21,3,82.4,Cerrada
AUD-10300,2017-02-08,P08,Auditoría Interna Programada,R18,4,70.8,Cerrada
AUD-10192,2017-03-03,P02,Auditoría Externa ISO 9001,R20,0,100.0,Cerrada
AUD-10042,2017-04-06,P04,Auditoría Interna Programada,R23,1,90.4,Cerrada
AUD-10092,2017-04-12,P06,Auditoría de Seguimiento,R19,1,96.4,Cerrada
AUD-10392,2017-04-22,P04,Auditoría de Seguimiento,R11,1,90.4,Cerrada
AUD-10241,2017-05-06,P07,Auditoría Interna Programada,R01,1,95.8,Cerrada
AUD-10164,2017-05-17,P05,Auditoría de Seguimiento,R02,3,76.6,Cerrada
AUD-10048,2017-05-29,P01,Auditoría Interna Programada,R18,2,88.1,Cerrada
AUD-10362,2017-06-04,P01,Auditoría Interna Programada,R11,1,94.2,Cerrada
AUD-10188,2017-06-12,P05,Auditoría Externa ISO 9001,R18,1,89.0,Cerrada
AUD-10321,2017-07-23,P05,Auditoría Externa ISO 9001,R22,2,83.8,Cerrada
AUD-10120,2017-08-16,P07,Auditoría Interna Programada,R23,3,78.7,Cerrada
AUD-10113,2017-08-17,P06,Auditoría Externa ISO 9001,R16,1,97.1,Cerrada
AUD-10266,2017-08-17,P07,Auditoría Interna Programada,R19,1,88.5,Cerrada
AUD-10140,2017-08-26,P06,Auditoría Externa ISO 9001,R13,4,73.5,Cerrada
AUD-10194,2017-09-04,P06,Auditoría de Seguimiento,R22,3,91.4,En Revisión
AUD-10053,2017-09-04,P08,Auditoría de Seguimiento,R18,4,78.2,Cerrada
AUD-10106,2017-10-15,P01,Auditoría Interna Programada,R23,4,70.1,Cerrada
AUD-10088,2017-10-17,P04,Auditoría Interna Programada,R17,2,85.8,Cerrada
AUD-10418,2017-10-21,P04,Auditoría Externa ISO 9001,R14,1,91.6,Cerrada
AUD-10320,2017-11-28,P01,Auditoría Interna Programada,R18,2,86.7,Cerrada
AUD-10388,2017-12-02,P07,Auditoría Externa ISO 9001,R09,2,88.8,Cerrada
AUD-10311,2017-12-15,P08,Auditoría Externa ISO 9001,R11,4,71.3,En Revisión
AUD-10136,2018-02-01,P08,Auditoría de Seguimiento,R13,0,100.0,Cerrada
AUD-10301,2018-02-03,P07,Auditoría de Seguimiento,R22,2,88.5,Cerrada
AUD-10239,2018-02-09,P04,Auditoría Externa ISO 9001,R21,2,86.7,Cerrada
AUD-10343,2018-02-24,P03,Auditoría Externa ISO 9001,R14,2,85.3,Cerrada
AUD-10233,2018-03-12,P08,Auditoría Externa ISO 9001,R14,5,60.8,Cerrada
AUD-10268,2018-05-05,P01,Auditoría de Seguimiento,R14,5,66.6,Cerrada
AUD-10344,2018-05-08,P07,Auditoría Interna Programada,R09,2,87.7,Cerrada
AUD-10110,2018-05-19,P06,Auditoría Externa ISO 9001,R17,4,84.7,Cerrada
AUD-10218,2018-05-31,P01,Auditoría de Seguimiento,R14,5,58.0,Cerrada
AUD-10155,2018-06-01,P04,Auditoría de Seguimiento,R18,4,71.5,Cerrada
AUD-10405,2018-06-04,P07,Auditoría de Seguimiento,R17,3,91.3,Cerrada
AUD-10162,2018-06-22,P06,Auditoría Interna Programada,R19,0,96.7,Cerrada
AUD-10323,2018-07-22,P02,Auditoría Externa ISO 9001,R13,2,87.2,Cerrada
AUD-10203,2018-08-15,P05,Auditoría Interna Programada,R14,2,84.2,Cerrada
AUD-10071,2018-08-22,P06,Auditoría Interna Programada,R23,4,86.3,Cerrada
AUD-10207,2018-09-03,P03,Auditoría Interna Programada,R16,2,83.7,Cerrada
AUD-10045,2018-09-24,P06,Auditoría Externa ISO 9001,R19,2,91.0,Cerrada
AUD-10105,2018-09-24,P06,Auditoría de Seguimiento,R19,2,78.4,Cerrada
AUD-10278,2018-10-04,P03,Auditoría Externa ISO 9001,R16,4,65.7,Cerrada
AUD-10364,2018-10-09,P03,Auditoría Externa ISO 9001,R17,5,60.4,Cerrada
AUD-10215,2018-10-15,P05,Auditoría de Seguimiento,R19,6,50.7,Cerrada
AUD-10305,2018-10-25,P01,Auditoría Externa ISO 9001,R14,1,90.9,Cerrada
AUD-10012,2018-11-04,P06,Auditoría Externa ISO 9001,R22,5,71.4,Cerrada
AUD-10070,2018-11-29,P06,Auditoría Externa ISO 9001,R19,0,100.0,Cerrada
AUD-10153,2019-01-03,P03,Auditoría Externa ISO 9001,R23,3,82.2,Cerrada
AUD-10330,2019-01-15,P08,Auditoría de Seguimiento,R22,1,92.7,Cerrada
AUD-10163,2019-01-21,P02,Auditoría Interna Programada,R02,3,73.6,Cerrada
AUD-10297,2019-01-22,P03,Auditoría de Seguimiento,R17,0,100.0,Cerrada
AUD-10044,2019-01-26,P08,Auditoría de Seguimiento,R11,0,100.0,Cerrada
AUD-10089,2019-02-06,P04,Auditoría Interna Programada,R09,4,74.5,Cerrada
AUD-10099,2019-02-20,P01,Auditoría Interna Programada,R18,4,69.4,Cerrada
AUD-10139,2019-02-28,P01,Auditoría Interna Programada,R02,2,84.9,Cerrada
AUD-10223,2019-03-04,P06,Auditoría de Seguimiento,R11,2,85.8,Cerrada
AUD-10416,2019-03-04,P06,Auditoría Externa ISO 9001,R16,0,97.5,En Revisión
AUD-10262,2019-03-30,P08,Auditoría Externa ISO 9001,R16,1,94.3,En Revisión
AUD-10353,2019-04-01,P08,Auditoría Externa ISO 9001,R13,2,86.5,Cerrada
AUD-10027,2019-04-15,P08,Auditoría Externa ISO 9001,R23,2,83.2,Cerrada
AUD-10166,2019-04-25,P02,Auditoría Interna Programada,R19,1,94.8,En Revisión
AUD-10081,2019-05-09,P08,Auditoría Interna Programada,R18,3,81.2,Cerrada
AUD-10361,2019-05-23,P07,Auditoría Externa ISO 9001,R14,1,91.7,Cerrada
AUD-10006,2019-06-10,P04,Auditoría de Seguimiento,R16,3,78.7,Cerrada
AUD-10068,2019-06-23,P04,Auditoría de Seguimiento,R21,2,83.7,Cerrada
AUD-10181,2019-07-10,P07,Auditoría de Seguimiento,R18,6,48.7,Cerrada
AUD-10202,2019-07-20,P08,Auditoría Externa ISO 9001,R18,8,40.0,Cerrada
AUD-10031,2019-08-09,P04,Auditoría Externa ISO 9001,R08,2,92.2,Cerrada
AUD-10209,2019-08-22,P06,Auditoría Interna Programada,R08,0,96.2,Cerrada
AUD-10342,2019-08-28,P08,Auditoría de Seguimiento,R04,2,82.3,Cerrada
AUD-10189,2019-09-14,P03,Auditoría Externa ISO 9001,R02,2,92.8,Cerrada
AUD-10264,2019-09-29,P06,Auditoría de Seguimiento,R09,3,82.3,Cerrada
AUD-10197,2019-10-05,P03,Auditoría Interna Programada,R08,2,86.9,Cerrada
AUD-10034,2019-10-17,P04,Auditoría Interna Programada,R23,1,92.1,Cerrada
AUD-10386,2019-10-26,P05,Auditoría de Seguimiento,R13,3,77.6,Cerrada
AUD-10327,2020-01-15,P03,Auditoría de Seguimiento,R13,0,100.0,Cerrada
AUD-10020,2020-01-31,P07,Auditoría Interna Programada,R14,5,69.5,Cerrada
AUD-10007,2020-02-26,P04,Auditoría de Seguimiento,R14,1,100.0,Cerrada
AUD-10414,2020-02-28,P06,Auditoría de Seguimiento,R01,3,77.1,Cerrada
AUD-10271,2020-03-28,P02,Auditoría Externa ISO 9001,R01,5,77.0,Cerrada
AUD-10357,2020-04-27,P08,Auditoría Interna Programada,R23,3,85.9,Cerrada
AUD-10347,2020-05-13,P06,Auditoría Interna Programada,R11,1,95.1,Cerrada
AUD-10351,2020-05-16,P01,Auditoría Externa ISO 9001,R09,7,62.6,Cerrada
AUD-10046,2020-06-17,P01,Auditoría de Seguimiento,R13,3,86.3,Cerrada
AUD-10135,2020-06-21,P07,Auditoría de Seguimiento,R13,2,93.6,En Revisión
AUD-10383,2020-06-27,P04,Auditoría de Seguimiento,R02,2,84.7,Cerrada
AUD-10111,2020-07-24,P01,Auditoría Externa ISO 9001,R11,1,93.7,Cerrada
AUD-10019,2020-07-28,P02,Auditoría Externa ISO 9001,R16,6,79.3,Cerrada
AUD-10394,2020-08-02,P05,Auditoría Externa ISO 9001,R23,2,89.6,Cerrada
AUD-10312,2020-08-24,P03,Auditoría de Seguimiento,R12,0,96.4,Cerrada
AUD-10314,2020-08-26,P03,Auditoría de Seguimiento,R14,2,85.0,Cerrada
AUD-10256,2020-09-01,P01,Auditoría Interna Programada,R02,1,90.0,Cerrada
AUD-10352,2020-10-03,P03,Auditoría Externa ISO 9001,R20,1,91.5,Cerrada
AUD-10191,2020-10-11,P07,Auditoría Externa ISO 9001,R18,1,94.0,Cerrada
