ID_Caso,Fecha_Deteccion,Proceso_ID,Tipo_Hallazgo_ID,Severidad,Origen_Deteccion,Estado,Fecha_Cierre,Dias_Para_Cierre,Responsable_ID,Costo_Estimado_COP
NC-106149,2006-12-18,P07,T05,Baja,Autocontrol,Cerrada,2006-12-23,5,R09,368321
NC-101903,2006-12-21,P05,T01,Media,Queja de Cliente,Cerrada,2007-01-04,14,R11,334842
NC-100564,2006-12-22,P07,T01,Media,Autocontrol,Cerrada,2007-01-02,11,R11,174892
NC-104716,2006-12-23,P03,T06,Baja,Auditoría Interna,Cerrada,2006-12-28,5,R11,140487
NC-104993,2006-12-28,P04,T03,Media,Auditoría Interna,En Tratamiento,,,R11,554394
NC-105118,2007-01-01,P03,T06,Media,Auditoría Externa,Cerrada,2007-01-08,7,R09,823280
NC-105645,2007-01-13,P06,T04,Media,Autocontrol,Cerrada,2007-02-09,27,R09,1037246
NC-100635,2007-01-17,P05,T03,Baja,Autocontrol,Cerrada,2007-02-04,18,R11,479606
NC-105404,2007-01-17,P05,T06,Baja,Auditoría Externa,Cerrada,2007-02-09,23,R16,301813
NC-105467,2007-01-17,P06,T02,Alta,Inspección de Calidad,Cerrada,2007-01-30,13,R21,518729
NC-105490,2007-01-17,P03,T05,Baja,Auditoría Externa,Cerrada,2007-01-26,9,R09,14532
NC-102395,2007-01-20,P06,T06,Media,Inspección de Calidad,En Tratamiento,,,R21,113556
NC-105005,2007-01-22,P01,T04,Media,Auditoría Interna,Cerrada,2007-01-30,8,R09,815169
NC-101880,2007-01-23,P04,T03,Alta,Inspección de Calidad,Cerrada,2007-02-01,9,R09,493870
NC-105528,2007-02-05,P07,T04,Baja,Auditoría Interna,Cerrada,2007-02-08,3,R21,216525
NC-101492,2007-02-08,P08,T05,Baja,Auditoría Interna,Cerrada,2007-02-17,9,R21,132118
NC-106112,2007-02-12,P07,T04,Baja,Auditoría Interna,Cerrada,2007-02-19,7,R16,250797
NC-106130,2007-02-16,P05,T06,Alta,Auditoría Externa,En Tratamiento,,,R16,434200
NC-104161,2007-02-26,P06,T04,Baja,Auditoría Interna,Cerrada,2007-03-07,9,R16,130212
NC-102438,2007-03-03,P04,T04,Media,Inspección de Calidad,Cerrada,2007-03-08,5,R16,621822
NC-101227,2007-03-03,P03,T04,Alta,Autocontrol,Cerrada,2007-03-20,17,R11,699569
NC-102753,2007-03-06,P01,T03,Baja,Inspección de Calidad,Cerrada,2007-03-18,12,R11,130209
NC-103119,2007-03-08,P08,T06,Alta,Queja de Cliente,Cerrada,2007-04-01,24,R11,522470
NC-105049,2007-03-11,P08,T04,Media,Auditoría Interna,Cerrada,2007-03-18,7,R16,128585
NC-104895,2007-03-18,P04,T06,Media,Inspección de Calidad,Cerrada,2007-03-25,7,R11,78675
NC-105092,2007-03-18,P03,T06,Baja,Autocontrol,Cerrada,2007-03-29,11,R11,234464
NC-101275,2007-03-19,P05,T03,Baja,Auditoría Interna,Cerrada,2007-04-14,26,R16,73024
NC-100543,2007-03-24,P07,T05,Crítica,Inspección de Calidad,Cerrada,2007-04-02,9,R21,393510
NC-101571,2007-03-24,P02,T05,Crítica,Queja de Cliente,Cerrada,2007-04-24,31,R21,2377247
NC-101264,2007-03-26,P01,T01,Baja,Auditoría Externa,Cerrada,2007-04-03,8,R09,89537
NC-104138,2007-03-27,P06,T04,Alta,Auditoría Externa,En Tratamiento,,,R11,1398475
NC-103362,2007-03-30,P04,T01,Crítica,Autocontrol,Cerrada,2007-04-04,5,R16,1438873
NC-101317,2007-04-04,P08,T06,Alta,Autocontrol,En Tratamiento,,,R21,253222
NC-105027,2007-04-07,P03,T05,Media,Autocontrol,Cerrada,2007-04-21,14,R21,472786
NC-104108,2007-04-08,P08,T06,Baja,Inspección de Calidad,Cerrada,2007-04-18,10,R16,110724
NC-103921,2007-04-15,P05,T04,Baja,Inspección de Calidad,En Tratamiento,,,R21,144550
NC-101716,2007-04-23,P05,T05,Media,Inspección de Calidad,Cerrada,2007-05-06,13,R21,460678
NC-104782,2007-04-25,P06,T02,Alta,Inspección de Calidad,Abierta,,,R16,663251
NC-106156,2007-04-30,P05,T02,Media,Autocontrol,Cerrada,2007-05-06,6,R21,1445376
NC-101203,2007-05-04,P01,T02,Media,Queja de Cliente,Cerrada,2007-05-09,5,R09,236238
NC-102306,2007-05-07,P03,T03,Media,Queja de Cliente,Cerrada,2007-05-13,6,R16,714143
NC-104230,2007-05-09,P04,T02,Media,Autocontrol,Cerrada,2007-05-17,8,R16,594767
NC-100573,2007-05-09,P05,T06,Crítica,Autocontrol,Cerrada,2007-05-25,16,R09,1760747
NC-102784,2007-05-10,P06,T05,Crítica,Autocontrol,Cerrada,2007-05-30,20,R09,468815
NC-100504,2007-05-12,P02,T06,Media,Auditoría Interna,Cerrada,2007-05-20,8,R11,656910
NC-106115,2007-05-13,P03,T03,Media,Queja de Cliente,Cerrada,2007-05-22,9,R09,143929
NC-100419,2007-05-13,P04,T06,Alta,Inspección de Calidad,Cerrada,2007-05-28,15,R09,873453
NC-103579,2007-05-18,P06,T05,Alta,Autocontrol,Cerrada,2007-05-20,2,R21,352112
NC-106168,2007-05-23,P04,T02,Alta,Autocontrol,Cerrada,2007-06-01,9,R21,497075
NC-103419,2007-05-29,P03,T02,Media,Auditoría Interna,Cerrada,2007-06-14,16,R11,330510
NC-104762,2007-05-31,P03,T02,Media,Inspección de Calidad,Cerrada,2007-06-15,15,R09,251195
NC-102557,2007-06-01,P02,T03,Media,Queja de Cliente,Cerrada,2007-06-03,2,R09,250390
NC-102370,2007-06-04,P07,T06,Baja,Queja de Cliente,Cerrada,2007-06-24,20,R09,176316
NC-104951,2007-06-08,P06,T06,Alta,Autocontrol,Cerrada,2007-06-20,12,R16,1349622
NC-104253,2007-06-08,P04,T01,Media,Autocontrol,Cerrada,2007-06-14,6,R11,119177
NC-101973,2007-06-10,P07,T06,Media,Inspección de Calidad,Cerrada,2007-07-05,25,R09,457509
NC-105010,2007-06-10,P06,T01,Baja,Autocontrol,Abierta,,,R21,199586
NC-103587,2007-06-11,P03,T06,Baja,Autocontrol,Cerrada,2007-07-08,27,R21,440387
NC-100648,2007-06-17,P04,T01,Alta,Inspección de Calidad,Cerrada,2007-07-08,21,R16,575014
NC-102078,2007-06-18,P07,T02,Media,Autocontrol,Cerrada,2007-06-24,6,R09,516775
NC-105373,2007-06-19,P02,T03,Media,Queja de Cliente,Cerrada,2007-06-26,7,R09,548125
NC-103311,2007-06-20,P08,T04,Media,Autocontrol,Cerrada,2007-07-01,11,R21,709519
NC-104325,2007-06-21,P07,T01,Crítica,Auditoría Externa,Cerrada,2007-07-07,16,R16,2131745
NC-103391,2007-06-22,P06,T06,Alta,Inspección de Calidad,Abierta,,,R16,534878
NC-105791,2007-06-25,P04,T05,Baja,Autocontrol,Cerrada,2007-07-17,22,R11,61689
NC-104732,2007-07-02,P06,T05,Media,Auditoría Externa,Cerrada,2007-07-09,7,R11,440416
NC-102509,2007-07-03,P05,T03,Media,Autocontrol,En Tratamiento,,,R16,303396
NC-101943,2007-07-06,P02,T04,Alta,Inspección de Calidad,Cerrada,2007-07-20,14,R16,421009
NC-100319,2007-07-07,P01,T04,Baja,Autocontrol,Cerrada,2007-07-29,22,R21,52565
NC-101946,2007-07-12,P06,T03,Baja,Inspección de Calidad,Cerrada,2007-07-14,2,R21,216423
NC-101273,2007-07-16,P06,T05,Alta,Inspección de Calidad,En Tratamiento,,,R16,1359625
NC-104147,2007-07-19,P07,T03,Baja,Auditoría Externa,Cerrada,2007-08-08,20,R16,20785
NC-105926,2007-07-21,P01,T02,Crítica,Auditoría Interna,Cerrada,2007-07-26,5,R09,269651
NC-104950,2007-07-23,P02,T05,Baja,Queja de Cliente,Cerrada,2007-08-08,16,R09,334160
NC-100088,2007-07-23,P04,T04,Baja,Auditoría Interna,Cerrada,2007-07-29,6,R16,205226
NC-102810,2007-07-24,P02,T05,Alta,Auditoría Interna,Cerrada,2007-08-11,18,R11,1219059
NC-104118,2007-07-26,P08,T05,Crítica,Autocontrol,Cerrada,2007-08-04,9,R09,406950
NC-101319,2007-07-26,P07,T06,Baja,Inspección de Calidad,Cerrada,2007-08-05,10,R09,123053
NC-102919,2007-07-30,P07,T02,Baja,Auditoría Interna,Cerrada,2007-08-12,13,R11,113829
NC-100966,2007-08-04,P05,T04,Baja,Inspección de Calidad,Cerrada,2007-08-18,14,R16,367191
NC-103475,2007-08-06,P02,T04,Media,Inspección de Calidad,Cerrada,2007-08-13,7,R11,173590
NC-100850,2007-08-09,P02,T02,Alta,Autocontrol,Cerrada,2007-08-25,16,R11,1252278
NC-106098,2007-08-10,P04,T01,Crítica,Auditoría Interna,Cerrada,2007-08-23,13,R21,582138
NC-104520,2007-08-11,P05,T06,Crítica,Auditoría Interna,Abierta,,,R09,741449
NC-101595,2007-08-11,P05,T05,Media,Auditoría Externa,En Tratamiento,,,R21,316023
NC-100056,2007-08-13,P06,T02,Media,Queja de Cliente,Cerrada,2007-08-20,7,R11,1328348
NC-101089,2007-08-13,P02,T02,Alta,Auditoría Interna,Cerrada,2007-08-19,6,R21,1326941
NC-100888,2007-08-13,P06,T04,Baja,Auditoría Externa,En Tratamiento,,,R16,81259
NC-103930,2007-08-15,P02,T03,Alta,Queja de Cliente,Cerrada,2007-08-19,4,R16,247407
NC-102320,2007-08-24,P01,T06,Media,Autocontrol,Cerrada,2007-09-01,8,R11,594794
NC-105361,2007-08-24,P06,T04,Crítica,Auditoría Externa,Cerrada,2007-09-12,19,R21,390872
NC-104124,2007-08-27,P08,T05,Baja,Auditoría Externa,Cerrada,2007-09-05,9,R11,605370
NC-100910,2007-08-30,P07,T03,Baja,Auditoría Interna,Cerrada,2007-09-07,8,R16,102764
NC-105042,2007-09-03,P04,T02,Baja,Queja de Cliente,Cerrada,2007-09-21,18,R16,281668
NC-103078,2007-09-07,P04,T05,Alta,Autocontrol,Cerrada,2007-09-25,18,R21,975755
NC-105957,2007-09-07,P08,T03,Media,Queja de Cliente,Cerrada,2007-09-20,13,R01,513786
NC-101489,2007-09-09,P04,T05,Baja,Auditoría Interna,Cerrada,2007-09-18,9,R21,241576
NC-100779,2007-09-10,P04,T05,Alta,Auditoría Interna,Cerrada,2007-09-18,8,R21,630878
NC-101788,2007-09-10,P04,T06,Media,Queja de Cliente,Cerrada,2007-09-20,10,R09,1150971
NC-100702,2007-09-15,P02,T01,Alta,Auditoría Interna,Abierta,,,R01,811797
NC-104036,2007-09-16,P05,T04,Alta,Auditoría Interna,Cerrada,2007-09-19,3,R16,292749
NC-104232,2007-09-16,P03,T04,Media,Auditoría Interna,Cerrada,2007-10-07,21,R21,171843
NC-103595,2007-09-16,P02,T05,Media,Auditoría Externa,Cerrada,2007-09-27,11,R21,501522
NC-102289,2007-09-20,P04,T05,Alta,Auditoría Externa,Cerrada,2007-10-08,18,R16,626581
NC-105290,2007-09-21,P06,T04,Alta,Auditoría Interna,Cerrada,2007-10-04,13,R16,1023958
NC-103453,2007-09-22,P04,T01,Baja,Auditoría Interna,Cerrada,2007-10-12,20,R09,133867
NC-103784,2007-09-24,P05,T02,Crítica,Queja de Cliente,En Tratamiento,,,R01,2387249
NC-100856,2007-09-24,P06,T03,Media,Auditoría Externa,Cerrada,2007-10-15,21,R11,786656
NC-100112,2007-09-30,P07,T02,Alta,Auditoría Externa,Cerrada,2007-10-09,9,R09,394466
NC-102502,2007-10-02,P03,T03,Baja,Autocontrol,Cerrada,2007-10-06,4,R01,249737
NC-102864,2007-10-04,P04,T05,Baja,Auditoría Externa,En Tratamiento,,,R21,178593
NC-103003,2007-10-22,P03,T02,Baja,Inspección de Calidad,Cerrada,2007-10-29,7,R21,149157
NC-101349,2007-10-27,P07,T03,Media,Inspección de Calidad,Cerrada,2007-11-28,32,R21,64586
NC-102677,2007-10-29,P03,T02,Baja,Autocontrol,Cerrada,2007-10-31,2,R16,284653
NC-102668,2007-11-01,P05,T01,Baja,Auditoría Externa,Abierta,,,R11,76877
NC-101028,2007-11-01,P07,T03,Alta,Auditoría Externa,Cerrada,2007-11-29,28,R01,271178
