PRODUCTO;CATEGORIA;SUBCATEGORIA;MARCA;PROVEEDOR;COSTO_MERCANCIA_PORCENTAJE_VENTA;PRECIO_LISTA_PROMEDIO;ROTACION
Guayos Nike Cr-103;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8243.0;Alta
Guayos Nike Cr-49;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8180.0;Alta
Guayos Nike Cr-95;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8142.0;Baja
Guayos Nike Cr-43;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8371.0;Baja
Guayos Nike Cr-61;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8141.0;Media
Guayos Nike Cr-52;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8175.0;Baja
Guayos Nike Cr-27; Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8240.0;Baja
Guayos Nike Cr-58;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8410.0;Media
Alivio de mordedura de insectos;Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;Marca propia Cumbre;Importadora Cumbre Outdoor;0.5;16402.0;Alta
Guayos Nike Cr-70;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8437.0;Baja
Guayos Nike Cr-50;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8623.0;Alta
Guayos Nike Cr-79;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8173.0;Alta
Guayos Nike Cr-111;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8188.0;Baja
Guayos Nike Cr-43;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8371.0;Baja
Guayos Nike Cr-64;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8349.0;Media
Guayos Nike Cr-12;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8274.0;Baja
Guayos Nike Cr-42;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8363.0;Media
Martillo de granito;Camping y Montanismo;Escalada y Montanismo;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;5162.0;Alta
Guayos Nike Cr-112;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8490.0;Alta
Mochila Canyon Mule Journey;Camping y Montanismo;Carga y Transporte;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;8306.0;Baja
Bloqueador solar;Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;Marca propia Cumbre;Importadora Cumbre Outdoor;0.5;8628.0;Alta
Guayos Nike Cr-56;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8043.0;Alta
Guayos Nike Cr-76;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8210.0;Media
Guayos Nike Cr-75;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8327.0;Baja
Guayos Nike Cr-120;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8248.0;Alta
Loción BugShield; Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;;Importadora Cumbre Outdoor;0.5;10266.0;Alta
Guayos Nike Cr-20;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;9140.0;Media
Guayos Nike Cr-117;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;7971.0;Media
Guayos Nike Cr-30;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8116.0;Media
Guayos Nike Cr-53;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8205.0;Baja
Guayos Nike Cr-96;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8565.0;Baja
Guayos Nike Cr-57;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;86736.48974948855;Baja
Guayos Nike Cr-45;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8285.0;Alta
Guayos Nike Cr-86;FUTBOL - CALZADO;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8217.0;Baja
Guayos Nike Cr-74;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8052.0;Alta
Guayos Nike Cr-69;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8392.0;Baja
Guayos Nike Cr-77;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8156.0;Baja
TrailChef Double Flame;Camping y Montanismo;Cocina de Campamento;TrailChef;Importadora Cumbre Outdoor;0.58;8425.0;Media
Guayos Nike Cr-73;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8224.0;Baja
Guayos Nike Cr-107;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8091.0;Alta
Guayos Nike Cr-91;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8411.0;Media
Guayos Nike Cr-41;Futbol - Calzado;Calzado con Tacos;;Nike LATAM S.A.;0.6;8161.0;Alta
Guayos Nike Cr-82;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8079.0;Baja
Guayos Nike Cr-26;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;N/A;Media
Guayos Nike Cr-92;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8132.0;Baja
Guayos Nike Cr-68;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8584.0;Baja
Guayos Nike Cr-72;Futbol - Calzado?;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8251.0;Media
Guayos Nike Cr-14;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8494.0;Alta
Guayos Nike Cr-24;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8090.0;Media
Guayos Nike Cr-122;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8339.0;Media
Batería recargable Firefly;Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;Firefly;Importadora Cumbre Outdoor;0.5;5995.0;Alta
Arnés Extremo Husky;Camping y Montanismo;Equipo Outdoor General;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;9099.0;Alta
Guayos Nike Cr-99;Futbol - Calzado;Calzado con Tacos;;Nike LATAM S.A.;0.6;8143.0;Baja
Guayos Nike Cr-87;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8027.0;Alta
Guayos Nike Cr-102;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;N/A;Media
Set de Madera Lady Hailstorm Titanium;Golf;Equipo de Golf;Marca propia Cumbre;Importadora Cumbre Outdoor;0.45;19642.0;Alta
Guayos Nike Cr-39;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8644.0;Baja
Guayos Nike Cr-108;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8139.0;Baja
Guantes de Arquero Nike;Futbol - Indumentaria y accesorios;Indumentaria y Accesorios de Futbol;Nike;Nike LATAM S.A.;0.55;6418.0;Alta
Guayos Nike Cr-34;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8136.0;Alta
Guayos Nike Cr-7;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;6132.0;Alta
Guayos Nike Cr-15;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8380.0;Media
Guayos Nike Cr-18;Futbol - Calzado?;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8664.0;Media
Guayos Nike Cr-37;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8510.0;Baja
Guayos Nike Cr-17;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8777.0;Baja
Guayos Nike Cr-65;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8394.0;Alta
Guayos Nike Cr-67;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8301.0;Baja
Guayos Nike Cr-19;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8738.0;Baja
Guayos Nike Cr-116; Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8071.0;Media
Guayos Nike Cr-31;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8188.0;Media
Maletin Adidas;Futbol - Indumentaria y accesorios;Indumentaria y Accesorios de Futbol;Adidas;Adidas Distribucion Andina;0.55;9944.0;Alta
Guayos Nike Cr-83;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;Sin definir;Media
Balon de Microfutbol Golty;Futbol - Indumentaria y accesorios;Indumentaria y Accesorios de Futbol;Golty;Golty Colombia;0.55;13202.0;Alta
Guayos Nike Cr-56;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8043.0;Alta
Guayos Nike Cr-109;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8121.0;Media
Mirador Star;CAMPING Y MONTANISMO;Navegacion y Observacion;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;8489.0;Baja
GPS glaciar;Camping y Montanismo;Navegacion y Observacion;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;22094.0;Alta
Guayos Nike Cr-105;FUTBOL - CALZADO;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8381.0;Alta
Guayos Nike Cr-109;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8121.0;Media
Gorra Deportiva;Ropa y Accesorios Deportivos;Ropa Deportiva;Marca propia Cumbre;Importadora Cumbre Outdoor;0.52;18968.0;Alta
Pantaloneta;Futbol - Indumentaria y accesorios;Indumentaria y Accesorios de Futbol;Marca propia Cumbre;Importadora Cumbre Outdoor;0.55;126674.6295646559;Alta
Guayos Nike Cr-94;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;7962.0;Media
Guayos Nike Cr-118;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8255.0;Media
Guayos Nike Cr-93;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8129.0;Media
Guayos Nike Cr-65;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8394.0;Alta
Guayos Nike Cr-119;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8138.0;Media
Guayos Nike Cr-71;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;Sin definir;Baja
Guayos Nike Cr-62;Futbol - Calzado?;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8383.0;Baja
Guayos Nike Cr-10;Futbol - Calzado;Calzado con Tacos;;Nike LATAM S.A.;0.6;8099.0;Baja
Guayos Nike Cr-104;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;7956.0;Baja
Guayos Nike Cr-48;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8628.0;Alta
Guayos Nike Cr-36;Futbol - Calzado?;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8268.0;Baja
Guayos Nike Cr-44;Futbol - Calzado;Calzado con Tacos;Nike;;0.6;8466.0;Media
Guayos Nike Cr-114;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8524.0;Media
Guayos Nike Cr-60;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8497.0;Media
Sudadera Puma;Ropa y Accesorios Deportivos;Ropa Deportiva;Puma;Puma Sports Group;0.52;17120.0;Alta
Lámpara EverGlow;Camping y Montanismo;Equipo Outdoor General;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;2838.0;Alta
Guayos Nike Cr-46;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8101.0;Media
Guayos Nike Cr-80;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8315.0;Baja
Guayos Nike Cr-51;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;7870.0;Media
Guayos Nike Cr-7;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;6132.0;Alta
Lámpara de escalada Firefly;Camping y Montanismo?;Equipo Outdoor General;Firefly;Importadora Cumbre Outdoor;0.58;5654.0;Alta
Guayos Nike Cr-63;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8402.0;Media
Guayos Nike Cr-11;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8636.0;Media
Guayos Nike Cr-78;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8624.0;Alta
Palo Course Pro;Golf;Equipo de Golf;Course Pro;Importadora Cumbre Outdoor;0.45;8148.0;Alta
Guayos Nike Cr-59;Futbol - Calzado?;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8530.0;Media
Guayos Nike Cr-84;Futbol - Calzado  ;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8419.0;Alta
Juego TrailChef Deluxe Cook;Camping y Montanismo;Cocina de Campamento;TrailChef;Importadora Cumbre Outdoor;0.58;12233.0;Alta
Guayos Nike Cr-23;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;7946.0;Alta
BugShield Spray;Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;Marca propia Cumbre;Importadora Cumbre Outdoor;0.5;7886.0;Media
Sudadera Puma;Ropa y Accesorios Deportivos;Ropa Deportiva;Puma;Puma Sports Group;0.52;17120.0;Alta
Guayos Nike Cr-32;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8695.0;Baja
Guayos Nike Cr-21;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8566.0;Media
Guayos Nike Cr-22;Futbol - Calzado;Calzado con Tacos;Nike;;0.6;8745.0;Media
Guayos Nike Cr-55;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8173.0;Baja
Guayos Nike Cr-110;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8195.0;Media
Guayos Nike Cr-28;Futbol - Calzado;Calzado con Tacos;;Nike LATAM S.A.;0.6;8221.0;Baja
Guayos Nike Cr-90;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8178.0;Baja
Guayos Nike Cr-16; Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8757.0;Baja
Balon de Futbol Adidas;Futbol - Indumentaria y accesorios;Indumentaria y Accesorios de Futbol;Adidas;Adidas Distribucion Andina;0.55;6618.0;Alta
Kit de alivio compacto;Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;Marca propia Cumbre;Importadora Cumbre Outdoor;0.5;5065.0;Alta
Guayos Nike Cr-33;Futbol - Calzado;Calzado con Tacos;Nike;;0.6;8449.0;Media
Guayos Nike Cr-115;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;7870.0;Media
Star Gazer 3;Camping y Montanismo;Navegacion y Observacion;Marca propia Cumbre;;0.58;8369.0;Baja
Guayos Nike Cr-113;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8175.0;Media
Silvato Arbitro;futbol - indumentaria y accesorios;Indumentaria y Accesorios de Futbol;Marca propia Cumbre;Importadora Cumbre Outdoor;0.55;13708.0;Alta
Bolsa de golf Course Pro;Golf;Equipo de Golf;Course Pro;Importadora Cumbre Outdoor;0.45;?;Alta
Guayos Nike Cr-35;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8521.0;Baja
Husky Cuerda 200;Camping y Montanismo;Escalada y Montanismo;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;350179.07467236073;Alta
Canyon Mule Carryall;Camping y Montanismo;Carga y Transporte;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;8070.0;Baja
Guayos Nike Cr-13;Futbol - Calzado;Calzado con Tacos;Nike;;0.6;8616.0;Baja
Guayos Nike Cr-101;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8453.0;Media
Guayos Nike Cr-98;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8124.0;Alta
BugShield Lotion Lite;Cuidado y Proteccion Outdoor;Cuidado Personal Outdoor;Marca propia Cumbre;Importadora Cumbre Outdoor;0.5;8187.0;Baja
Guayos Nike Cr-121;Futbol - Calzado;Calzado con Tacos;Nike;;0.6;8207.0;Baja
Guayos Nike Cr-40;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8304.0;Baja
Guayos Nike Cr-114;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8524.0;Media
Guayos Nike Cr-106;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8140.0;Alta
Guayos Nike Cr-29;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8460.0;Media
Termo de Bicicleta;Ciclismo;Accesorios de Ciclismo;Marca propia Cumbre;Importadora Cumbre Outdoor;0.55;10836.0;Alta
Kit de cocina TrailChef;Camping y Montanismo;Cocina de Campamento;TrailChef;Importadora Cumbre Outdoor;0.58;6316.0;Alta
Mountain Man Extreme;Camping y Montanismo;Equipo Outdoor General;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;5425.0;Alta
Guayos Nike Cr-81;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8331.0;Alta
