CLIENTE;IDENTIFICACION;DOCUMENTO;PAIS;CANAL;FORMA DE PAGO;PRODUCTO;VENDEDOR;FECHA;VENTAS;CANTIDAD;DESCUENTO_PORCENTAJE;PRECIO_UNITARIO
La Anónima;897564399.0;FV 126216;Colombia;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-10;Lidia Bueno;2016-05-21;49856;6;0.0;8309
Walmart;890342123.0;FV 62520;Colombia;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2022-07-30;52800;10;0.0;5280
Supermercados Peruanos;896789012.0;FV 140449;Colombia;Telefono;Tarjeta de Credito;Guayos Nike Cr-105;Hernando Portilla;2019-04-08;11401;1;7.5;11401
Carrefour;900348761.0;FV 47556;Panama;APP;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2021-01-14;47350;6;5.9;7892
Tiendas San Francisco;897345600.0;FV 142204;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-66;Viviana Cano;2019-08-12;68884;5;0.0;13777
Unimarc;900434592.0;FV 54279;Ecuador;Redes Sociales;Cheque;Kit de alivio compacto;Lidia Bueno;2021-10-04;20250;13;0.0;1558
Gessa;901324700.0;FV 64779;Colombia;Redes Sociales;Cheque;Lámpara EverGlow;Viviana Cano;2022-11-30;13250;13;0.0;1019
Cencosud;901776453.0;FV 109948;Ecuador;Punto de Venta;Transferencia Electronica;Balon de Futbol Adidas;Hernando Portilla;2011-01-16;31594;7;0.0;4513
Walmart;890342123.0;FV 110564;Ecuador;Punto de Venta;Cheque;Batería recargable Firefly;Viviana Cano;2011-05-10;23828;8;0.0;2978
Makro;902765200.0;FV 140663;Honduras;Punto de Venta;Transferencia Electronica;Balon de Microfutbol Golty;Guillermo Benavides;2019-04-21;140004;13;0.0;10770
;901001382.0;FV 124981;Colombia;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-42;Viviana Cano;2016-02-19;71568;12;0.0;5964
Ara;901001382.0;FV 127346;Nicaragua;Telefono;Efectivo;Guayos Nike Cr-112;Viviana Cano;2016-08-12;84679;8;0.0;10585
Cencosud;901776453.0;FV 60510;Honduras;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Bernardo Cifuentes;2022-05-10;N/A;6;6.8;4900
Tiendas Olímpica;901765437.0;FV 65777;Peru;Redes Sociales;Transferencia Electronica;Loción BugShield;Hernando Portilla;2023-01-23;43000;10;0.0;4300
Jumbo;901345871.0;FV 120329;Colombia;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-14;Bernardo Cifuentes;2014-09-18;5551;1;11.4;5551
Gessa;901324700.0;FV 52305;Mexico;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Patricia Angarita;2021-05-15;59350;8;0.0;7419
Automercados Plaza's;891009100.0;FV 65982;Panama;Redes Sociales;Cheque;Guantes de Arquero Nike;Lidia Bueno;2023-02-01;11250;6;0.0;1875
Makro;902765200.0;FV 123320;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-111;Bernardo Cifuentes;2015-08-31;67996;13;0.0;5230
Super 99;899087237.0;FV 130168;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-42;Guillermo Benavides;2017-03-09;63146;13;0.0;4857
Gessa;901324700.0;FV 132507;Colombia;Punto de Venta;Efectivo;Casco de escalada de granito;Bernardo Cifuentes;2017-08-20;106404;9;0.0;11823
Super 99;899087237.0;FV 111713;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-92;Viviana Cano;2011-12-05;53067;6;0.0;8844
Hipermaxi;899453679.0;FV 51691;Panama;Redes Sociales;Tarjeta de Credito;Arnés Extremo Husky;Lidia Bueno;2021-05-01;69400;8;0.0;8675
Automercados Plaza's;891009100.0;FV 108861;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-79;Hernando Portilla;2010-07-02;56243;15;6.7;3750
Tiendas Olímpica;901765437.0;FV 41569;Ecuador;Punto de Venta;Efectivo;GPS glaciar;Armando Casas;2024-05-16;200550;13;0.0;15427
Hipermaxi;899453679.0;FV 111509;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-47;Viviana Cano;2011-10-29;13076;2;0.0;6538
Tiendas San Francisco;897345600.0;FV 103703;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-65;Viviana Cano;2007-11-18;166439;13;0.0;12803
Soriana;901345679.0;FV 131293;Honduras;Punto de Venta;Cheque;Guayos Nike Cr-69;Hernando Portilla;2017-05-26;7760;1;19.7;7760
Cencosud;901776453.0;FV 143742;Honduras;Punto de Venta;Tarjeta de Credito;Bolsa de golf Course Pro;Guillermo Benavides;2019-12-06;74398;6;15.9;12400
Jumbo;901345871.0;FV 116387;Colombia;Telefono;Cheque;Guayos Nike Cr-57;Viviana Cano;2013-06-14;26580;7;0.0;3797
Unimarc;900434592.0;FV 125394;Guatemala;Telefono;Efectivo;Guayos Nike Cr-55;Viviana Cano;2016-03-22;25077;4;0.0;6269
Supermercados Peruanos;896789012.0;FV 68124;Ecuador;Punto de Venta;Efectivo;Husky Cuerda 200;Bernardo Cifuentes;2023-04-22;217850;8;5.5;27231
Gessa;901324700.0;FV 124725;Colombia;Telefono;Efectivo;Guayos Nike Cr-65;Guillermo Benavides;2016-02-01;140264;14;14.8;10019
Hipermaxi;899453679.0;FV 57405;Colombia;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Guillermo Benavides;2022-01-23;75000;2;0.0;37500
Supermercados Peruanos;896789012.0;FV 49695;Mexico;Teléfono;Cheque;Guantes de Arquero Nike;Lidia Bueno;2021-03-11;269600.57692671305;10;0.0;1215
Ara;901001382.0;FV 53206;Honduras;Teléfono;Cheque;Lámpara EverGlow;Viviana Cano;2021-06-06;16850;10;0.0;1685
Tiendas San Francisco;897345600.0;FV 121158;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-89;Bernardo Cifuentes;2014-12-25;27555;4;0.0;6889
Hipermaxi;899453679.0;FV 54845;Colombia;Redes Sociales;Transferencia Electronica;Juego TrailChef Deluxe Cook;Bernardo Cifuentes;2021-10-23;55000;6;0.0;9167
Hipermaxi;899453679.0;FV 131951;Panama;Punto de Venta;Efectivo;Guayos Nike Cr-111;Bernardo Cifuentes;2017-07-13;?;12;0.0;13115
;900434592.0;FV 141293;Peru;Punto de Venta;Cheque;Martillo de granito;Hernando Portilla;2019-06-06;23669;3;5.7;7890
Soriana;901345679.0;FV 130824;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-80;Guillermo Benavides;2017-04-22;4145;1;0.0;4145
Walmart;890342123.0;FV 66401;Ecuador;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Hernando Portilla;2023-02-19;25900;6;7.7;4317
Super Selectos;901457120.0;FV 105389;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-38;Hernando Portilla;2008-10-13;25395;4;0.0;6349
Ara;901001382.0;FV 122387;Colombia;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-20;Viviana Cano;2015-05-19;84328;6;0.0;14055
Supermercados Peruanos;896789012.0;FV 105773;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-102;Viviana Cano;2008-12-20;42831;4;0.0;10708
Tiendas Olímpica;901765437.0;FV 50084;Honduras;Redes Sociales;Tarjeta de Credito;Arnés Extremo Husky;Viviana Cano;2021-03-20;55000;10;0.0;5500
Unimarc;900434592.0;FV 138010;Mexico;Telefono;Efectivo;Pantaloneta;Bernardo Cifuentes;2018-10-04;99604;9;0.0;11067
Bodega Aurrerá;;FV 148633;Panama;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-92;Bernardo Cifuentes;2020-11-27;28358;2;19.8;14179
Walmart;890342123.0;FV 102025;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-35;Viviana Cano;2006-07-26;44500;5;0.0;8900
Gessa;901324700.0;FV 41630;Panama;Punto de Venta;Efectivo;Husky Cuerda 200;Armando Casas;2024-05-16;170000;13;8.4;13077
Carrefour;900348761.0;FV 133102;Honduras;Telefono;Cheque;Guayos Nike Cr-18;Lidia Bueno;2017-10-02;45902;4;11.6;11476
Hipermaxi;899453679.0;FV 104503;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-95;Viviana Cano;2008-04-30;25204;5;0.0;5041
Hipermaxi;899453679.0;FV 48777;Ecuador;Teléfono;Transferencia Electronica;Mountain Man Extreme;Guillermo Benavides;2021-02-15;34100;8;0.0;4262
Gessa;901324700.0;FV 63895;Panama;Redes Sociales;Cheque;Guantes de Arquero Nike;Bernardo Cifuentes;2022-10-06;16150;10;0.0;1615
Super 99;899087237.0;FV 133665;Panama;Telefono;Cheque;Guayos Nike Cr-114;Viviana Cano;2017-11-13;86748;6;0.0;14458
Gessa;901324700.0;FV 59239;Nicaragua;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Hernando Portilla;2022-03-26;55000;6;15.3;9167
Tiendas San Francisco;897345600.0;FV 143409;Mexico;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-12;Guillermo Benavides;2019-11-12;138424;15;6.7;9228
Cencosud;901776453.0;FV 132241;Panama;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-84;Guillermo Benavides;2017-08-02;163013;13;8.6;12539
Jumbo;901345871.0;FV 147413;Nicaragua;Telefono;Tarjeta de Credito;Guayos Nike Cr-20;Lidia Bueno;2020-08-29;78753;9;0.0;8750
Soriana;901345679.0;FV 48460;Peru;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Viviana Cano;2021-02-07;25450;6;7.5;4242
Automercados Plaza's;891009100.0;FV 115951;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-31;Viviana Cano;2013-04-27;122096;12;5.4;10175
Tiendas San Francisco;897345600.0;FV 104820;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-106;Hernando Portilla;2008-06-25;87846;7;8.8;12549
Hipermaxi;899453679.0;FV 125110;Peru;Telefono;Cheque;Guayos Nike Cr-112;Bernardo Cifuentes;2016-02-28;81831;11;5.6;7439
Soriana;901345679.0;FV 141157;Panama;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-120;Hernando Portilla;2019-05-26;86915;6;0.0;14486
Super Selectos;901457120.0;FV 144177;Nicaragua;Telefono;Tarjeta de Credito;Guayos Nike Cr-55;Guillermo Benavides;2020-01-06;23386;2;0.0;11693
Super Selectos;901457120.0;FV 103446;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-64;Viviana Cano;2007-09-03;7476;2;0.0;3738
Tiendas Olímpica;901765437.0;FV 64117;Nicaragua;Redes Sociales;Cheque;Lámpara EverGlow;Bernardo Cifuentes;2022-10-19;17700;10;0.0;1770
Ara;901001382.0;FV 41814;Colombia;Punto de Venta;Efectivo;GPS glaciar;Guillermo Benavides;2024-05-16;121500;10;0.0;12150
Tiendas Olímpica;901765437.0;FV 71275;Panama;APP;Cheque;Mountain Man Extreme;Lidia Bueno;2023-09-02;20500;10;8.9;2050
Jumbo;901345871.0;FV 130922;Panama;Telefono;Tarjeta de Credito;Guayos Nike Cr-35;Hernando Portilla;2017-04-28;35498;15;0.0;2367
Makro;902765200.0;FV 128089;Colombia;Telefono;Efectivo;Guayos Nike Cr-71;Viviana Cano;2016-10-06;93479;12;0.0;7790
Super 99;899087237.0;FV 56892;Honduras;Redes Sociales;Cheque;Guantes de Arquero Nike;Hernando Portilla;2022-01-06;13450;6;0.0;2242
Automercados Plaza's;891009100.0;FV 54268;Ecuador;Teléfono;Transferencia Electronica;Termo de Bicicleta;Lidia Bueno;2021-10-03;55000;6;0.0;9167
Unimarc;900434592.0;FV 110435;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-111;Hernando Portilla;2011-04-14;126424;12;0.0;10535
Ara;901001382.0;FV 101691;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-54;Viviana Cano;2006-04-25;15498;5;0.0;3100
Walmart;890342123.0;FV 72399;Ecuador;Redes Sociales;Transferencia Electronica;Guayos Nike Cr-105;Hernando Portilla;2023-11-26;54000;3;0.0;18000
Automercados Plaza's;891009100.0;FV 123378;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-33;Bernardo Cifuentes;2015-09-07;6992;1;7.6;6992
Ara;901001382.0;FV 59281;Ecuador;Redes Sociales;Cheque;Guantes de Arquero Nike;Lidia Bueno;2022-03-28;21150;6;0.0;3525
Automercados Plaza's;891009100.0;FV 111337;Ecuador;Punto de Venta;Tarjeta de Credito;GPS glaciar;Hernando Portilla;2011-09-29;64919;5;0.0;12984
Ara;901001382.0;FV 118318;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-79;Bernardo Cifuentes;2014-01-25;70318;14;0.0;5023
Carrefour;900348761.0;FV 59337;Mexico;punto de venta;Transferencia Electronica;Batería recargable Firefly;Viviana Cano;2022-03-29;35650;8;7.1;4456
Tiendas Olímpica;901765437.0;FV 70403;Colombia;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2023-06-20;46250;8;0.0;5781
Super 99;899087237.0;FV 110005;Ecuador;Punto de Venta;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Hernando Portilla;2011-01-29;28848;12;0.0;2404
Automercados Plaza's;891009100.0;FV 128455;Colombia;Telefono;Tarjeta de Credito;Balon de Microfutbol Golty;Hernando Portilla;2016-11-03;9997;1;19.2;9997
Tiendas Olímpica;901765437.0;FV 49563;Peru;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2021-03-07;49050;10;0.0;4905
Soriana;901345679.0;FV 71669;Guatemala;Teléfono;Transferencia Electronica;Guantes de Arquero Nike;Hernando Portilla;2023-10-10;23400;1;0.0;23400
Supermercados Peruanos;896789012.0;FV 146138;Honduras;Telefono;Efectivo;Lámpara EverGlow;Hernando Portilla;2020-05-31;27411;4;5.9;6853
Super 99;899087237.0;FV 119693;Ecuador;Telefono;Transferencia Electronica;Guayos Nike Cr-68;Bernardo Cifuentes;2014-07-02;14708;6;6.1;2451
Jumbo;901345871.0;FV 148665;Nicaragua;Telefono;Efectivo;Guayos Nike Cr-30;Bernardo Cifuentes;2020-11-30;44932;4;0.0;11233
Jumbo;901345871.0;FV 123942;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-80;Viviana Cano;2015-11-19;34526;7;13.1;4932
Gessa;901324700.0;FV 61350;Ecuador;APP;Cheque;Martillo de granito;Viviana Cano;2022-06-09;16350;10;0.0;1635
Walmart;890342123.0;FV 51288;Mexico;Redes Sociales;Tarjeta de Credito;Maletin Adidas;Viviana Cano;2021-04-21;55000;6;16.9;9167
Gessa;901324700.0;FV 134232;Guatemala;Telefono;Efectivo;Balon de Futbol Adidas;Hernando Portilla;2017-12-23;103099;13;0.0;7931
Walmart;890342123.0;FV 54785;Peru;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Lidia Bueno;2021-10-21;55000;8;0.0;6875
Super 99;899087237.0;FV 141442;Guatemala;Telefono;Transferencia Electronica;BugShield Spray;Hernando Portilla;2019-06-17;68453;13;0.0;5266
Super Selectos;901457120.0;FV 122816;Colombia;Telefono;Cheque;Guayos Nike Cr-29;Hernando Portilla;2015-07-03;64672;7;0.0;9239
Hipermaxi;899453679.0;FV 49253;Guatemala;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Guillermo Benavides;2021-02-27;68400;13;9.4;5262
Hipermaxi;899453679.0;FV 44428;Ecuador;Redes Sociales;Efectivo;Gorra Deportiva;Patricia Angarita;2024-09-25;76800;2;0.0;38400
Gessa;901324700.0;FV 119112;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-20;Hernando Portilla;2014-04-25;47462;8;8.3;5933
Grupo Éxito;809765231.0;FV 124008;Peru;Telefono;Efectivo;Guayos Nike Cr-112;Viviana Cano;2015-11-25;5329;1;0.0;5329
Super 99;;FV 143819;Colombia;Telefono;Tarjeta de Credito;Guayos Nike Cr-114;Bernardo Cifuentes;2019-12-12;65111;5;0.0;13022
Hipermaxi;899453679.0;FV 148808;Peru;Telefono;Tarjeta de Credito;Balon de Futbol Adidas;Hernando Portilla;2020-12-13;96268;8;0.0;12034
Gessa;901324700.0;FV 59889;Guatemala;Redes Sociales;Transferencia Electronica;Loción BugShield;Lidia Bueno;2022-04-19;55000;6;0.0;9167
Carrefour;900348761.0;FV 135819;Ecuador;Telefono;Transferencia Electronica;Guayos Nike Cr-41;Viviana Cano;2018-04-18;32147;3;0.0;10716
Tiendas Olímpica;901765437.0;FV 118706;Ecuador;Punto de Venta;Cheque;GPS glaciar;Bernardo Cifuentes;2014-03-11;147259;14;8.9;10518
Automercados Plaza's;891009100.0;FV 113450;COLOMBIA;Telefono;Tarjeta de Credito;Guayos Nike Cr-107;Bernardo Cifuentes;2012-07-02;167416;14;0.0;11958
Supermercados Peruanos;896789012.0;FV 106530;Ecuador;Punto de Venta;Cheque;Balon de Futbol Adidas;Viviana Cano;2009-05-02;71479;6;9.4;11913
Supermercados Peruanos;896789012.0;FV 115388;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-13;Viviana Cano;2013-02-16;40082;3;8.9;13361
Hipermaxi;899453679.0;FV 148570;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-92;Guillermo Benavides;2020-11-22;37419;13;5.6;2878
Tiendas Olímpica;901765437.0;FV 45141;Nicaragua ;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Lidia Bueno;2024-10-10;64050;13;0.0;4927
Makro;902765200.0;FV 102744;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-111;Viviana Cano;2007-02-15;177072;14;0.0;12648
Hipermaxi;899453679.0;FV 113069;Colombia;Telefono;Efectivo;Guayos Nike Cr-40;Bernardo Cifuentes;2012-05-17;43786;14;0.0;3128
Super Selectos;901457120.0;FV 119543;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-75;Viviana Cano;2014-06-16;25588;2;0.0;12794
Makro;902765200.0;FV 124512;Peru;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-111;Viviana Cano;2016-01-16;100952;11;0.0;9177
Automercados Plaza's;891009100.0;FV 68179;Panama;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2023-04-23;75000;6;8.9;12500
Hipermaxi;899453679.0;FV 120673;Peru;Telefono;Transferencia Electronica;Batería recargable Firefly;Bernardo Cifuentes;2014-10-29;50401;4;0.0;12600
Gessa;901324700.0;FV 132172;Nicaragua;Punto de Venta;Efectivo;Guayos Nike Cr-67;Bernardo Cifuentes;2017-07-28;166004;14;11.3;11857
Grupo Éxito;809765231.0;FV 50185;Panama;APP;Cheque;Lámpara EverGlow;Viviana Cano;2021-03-23;11950;8;0.0;1494
Hipermaxi;899453679.0;FV 123555;Colombia;Telefono;Tarjeta de Credito;Guayos Nike Cr-87;Hernando Portilla;2015-10-01;28545;5;9.7;5709
Tiendas Olímpica;901765437.0;FV 50992;Ecuador;Redes Sociales;Transferencia Electronica;Guantes de Arquero Nike;Viviana Cano;2021-04-13;22400;8;0.0;2800
